City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,magadi,12.9667,77.2333,17.03,69,70,2.56,IN,1675639898
225,torbay,47.6666,-52.7314,-3.57,75,75,9.26,CA,1675639550
226,richards bay,-28.783,32.0377,23.51,85,53,1.59,ZA,1675639558
227,san andres,12.5847,-81.7006,28.01,74,20,4.63,CO,1675639666
228,bethel,41.3712,-73.414,5.21,60,100,3.71,US,1675639569
229,aklavik,68.2191,-135.0107,-36.98,98,50,1.09,CA,1675639753
230,rio gallegos,-51.6226,-69.2181,15.03,36,40,11.83,AR,1675639735
231,tabuk,17.4189,121.4443,22.47,83,72,1.52,PH,1675639888
232,igarka,67.4667,86.5833,-20.56,99,98,2.51,RU,1675639900
233,deputatskiy,69.3,139.9,-36.75,99,100,2.1,RU,1675639900
234,daru,-9.0763,143.2092,24.78,94,100,2.21,PG,1675639762
235,torzhok,57.0436,34.9622,-8.66,95,100,1.29,RU,1675639900
236,hecun,36.5333,114.1111,3.29,46,33,1.78,CN,1675639901
237,along,28.1667,94.7667,9.99,67,0,0.71,IN,1675639901
238,finschhafen,-6.6024,147.8681,29.26,68,98,0.79,PG,1675639901
239,westport,41.1415,-73.3579,6.02,71,100,0.45,US,1675639841
240,kant,27.8,79.8,12.02,56,0,2.12,IN,1675639776
241,caravelas,-17.7125,-39.2481,25.82,82,0,4.86,BR,1675639542
242,narrabri,-30.3167,149.7833,29.18,52,0,0.45,AU,1675639902
243,tromso,69.6496,18.957,1.32,93,75,3.09,NO,1675639742
244,bathsheba,13.2167,-59.5167,26.34,73,75,10.8,BB,1675639676
245,cayenne,4.9333,-52.3333,22.02,100,0,0.51,GF,1675639707
246,kieta,-6.2167,155.6333,27.17,79,100,1.75,PG,1675639903
247,balabac,7.9868,117.0645,26.56,80,55,6.33,PH,1675639449
248,ollioules,43.1352,5.848,10.23,84,100,5.81,FR,1675639904
249,iqaluit,63.7506,-68.5145,-27.95,61,75,7.72,CA,1675639744
250,ahipara,-35.1667,173.1667,19.31,94,94,3.4,NZ,1675639774
251,huntington,38.4193,-82.4452,13.5,46,100,2.57,US,1675639905
252,pacific grove,36.6177,-121.9166,13.57,76,75,7.2,US,1675639516
253,marsaxlokk,35.8419,14.5431,8.34,53,20,4.63,MT,1675639905
254,airai,-8.9266,125.4092,17.18,87,98,0.91,TL,1675639617
255,tongliao,43.6125,122.2653,-10.09,66,36,1.86,CN,1675639906
256,creston,41.0586,-94.3614,4.98,81,0,2.57,US,1675639906
257,teguise,29.0605,-13.564,13.12,67,0,3.09,ES,1675639906
258,hilo,19.7297,-155.09,27.93,78,100,3.6,US,1675639570
259,adilpur,27.937,69.3187,18.56,29,0,3.17,PK,1675639907
260,lata,40.1629,-8.3327,8.37,75,0,2.13,PT,1675639734
261,sandy bay,-42.913,147.3532,21.16,56,40,7.72,AU,1675639907
262,uglovskoye,51.3557,80.1942,-7.44,97,100,2.12,RU,1675639908
263,serik,36.9169,31.0989,6.14,90,98,2.95,TR,1675639908
264,missungwi,-2.85,33.0833,19.04,76,54,0.43,TZ,1675639908
265,port macquarie,-31.4333,152.9167,28.27,62,83,2.64,AU,1675639634
266,san patricio,28.017,-97.5169,25.86,64,0,5.14,US,1675639591
267,san cristobal,7.7669,-72.225,24.1,77,33,1.42,VE,1675639611
268,salalah,17.0151,54.0924,22.05,73,0,1.54,OM,1675639653
269,dehloran,32.6941,47.2679,13.31,45,96,3.55,IR,1675639909
270,canguaretama,-6.38,-35.1289,25.98,81,33,3.99,BR,1675639910
271,burnie,-41.0667,145.9167,18.31,59,47,5.2,AU,1675639745
272,dubbo,-32.25,148.6167,25.07,47,0,3.09,AU,1675639910
273,moree,-29.4667,149.85,29.16,42,3,4.29,AU,1675639910
274,coari,-4.085,-63.1414,23.34,97,67,1.51,BR,1675639911
275,grand gaube,-20.0064,57.6608,26.22,80,69,2.68,MU,1675639706
276,darhan,49.4867,105.9228,-23.17,99,76,1.57,MN,1675639693
277,honiara,-9.4333,159.95,25.02,94,100,3.58,SB,1675639641
278,los llanos de aridane,28.6585,-17.9182,13.96,64,75,4.63,ES,1675639681
279,vanimo,-2.6741,141.3028,25.82,87,100,0.94,PG,1675639912
280,muzhi,65.3667,64.6667,-18.0,97,75,1.0,RU,1675639912
281,srednekolymsk,67.45,153.6833,-35.58,98,100,2.34,RU,1675639604
282,isangel,-19.55,169.2667,30.2,65,99,2.47,VU,1675639790
283,goderich,43.7501,-81.7165,2.73,80,94,2.57,CA,1675639667
284,aboso,5.3617,-1.9473,25.04,92,94,1.84,GH,1675639913
285,minab,27.1467,57.0801,15.18,94,1,0.0,IR,1675639914
286,la jutosa,15.6333,-88.0,26.21,86,31,1.68,HN,1675639914
287,isabela,6.7085,121.9711,24.03,78,82,2.09,PH,1675639914
288,camacha,33.0833,-16.3333,13.68,67,20,6.17,PT,1675639915
289,beni suef,29.0731,31.0979,10.48,35,0,4.71,EG,1675639915
290,mimoso do sul,-21.0642,-41.3664,24.56,93,34,0.57,BR,1675639916
291,jingdezhen,29.2947,117.2079,9.97,97,100,0.32,CN,1675639916
292,opotiki,-38.0833,177.2833,18.4,96,100,2.82,NZ,1675639917
293,zhigansk,66.7697,123.3711,-42.62,97,99,0.22,RU,1675639917
294,varasti,44.2378,26.2486,0.12,62,100,2.49,RO,1675639917
295,nishihara,26.1842,127.7558,18.03,100,100,3.6,JP,1675639745
296,kapit,2.0167,112.9333,23.97,97,100,0.08,MY,1675639918
297,fortuna,40.5982,-124.1573,10.52,94,100,3.6,US,1675639668
298,okhotsk,59.3833,143.3,-26.01,82,97,4.91,RU,1675639711
299,lebu,-37.6167,-73.65,16.96,87,1,8.66,CL,1675639600
300,suntar,62.1444,117.6319,-49.34,100,70,1.32,RU,1675639919
301,bow island,49.8668,-111.3684,5.56,75,96,3.6,CA,1675639801
302,bereda,43.2686,-7.5406,2.3,100,32,2.55,ES,1675639919
303,huron,41.1501,-82.5499,7.69,72,99,6.25,US,1675639919
304,port augusta,-32.5,137.7667,27.67,26,10,2.43,AU,1675639920
305,tecpan,14.7623,-90.9947,16.45,66,17,2.29,GT,1675639921
306,lorengau,-2.0226,147.2712,28.22,78,100,2.2,PG,1675639921
307,kiunga,-6.1219,141.2906,24.23,97,99,1.25,PG,1675639922
308,lukovetskiy,64.2956,41.9211,-18.16,98,46,2.23,RU,1675639923
309,fruitvale,39.0817,-108.4968,15.96,36,0,4.63,US,1675639923
310,ambilobe,-13.2,49.05,23.19,93,100,0.87,MG,1675639924
